Organisation,Name of Project,Project Description,Link,Category,Region,Language,Ongoing/completed,Photo/Pic,project-slug,notNetwork
OKF Belgium,Bike Data Project,"An open bike data platform for and by cyclists. Making cyclists more visible & cities more liveable with open data.
Thanks to the data shared by citizens around the world, the Bike Data Project aims at showing where and when people ride their bicycles. The data gathered will help local communities and decision-makers make cycling and cities safer.",https://www.bikedataproject.org/,"Open Transport, Open Data, Civic Tech",Belgium,English,Ongoing,okbe-logo.svg,bike_data_project,
OKF Belgium,Equal Street Names,"The names of public spaces (streets, avenues, squares and others) define the identity of a city and how citizens interact with it. Many cities suffer from a major inequality between male and female street names and we want to help fix this.
There are several ways to approach the inequality of street names and leverage a positive change in our society. Ours is with the use of Open Data to create a map visualizing the street names by gender.",https://equalstreetnames.brussels/,"Open Data, Civic Tech, Open Mapping",Belgium,English,Ongoing,okbe-logo.svg,equal_street_names,
OKF Belgium,Open Summer of Code,"Open summer of code is an intense summer programme, giving young potential students with development-, communication-, design- and business skills a summer job with a real challenge. Their mission? Transforming open innovation projects into powerful real-world services for real organisations and companies.",https://osoc.be/,"Open Source, Data Literacy",Belgium,English,Ongoing,okbe-logo.svg,open_summer_of_code,
OKF Brazil,Diário do Clima,A platform to be used by journalists to easily identify and obtain official acts in Brazilian municipalities that are related to environmental issues.,https://ok.org.br/projetos/diario-do-clima/,"Open Data, Open Government Data, Climate Data",Brazil,Portuguese,Ongoing,OKbr-logo.svg,diario_do_clima,
OKF Brazil,Monitor da INDA,"The National Open Data Infrastructure (INDA) Monitor presents an overview of the execution of the 2021-2022 Action Plan of its Steering Committee, with monthly updates and analysis. The information is collected through systematic monitoring of the official channels of the INDA, records of meetings and, especially, requests via the Access to Information Act (LAI).",https://ok.org.br/inda/,"Open Data, Open Government Data",Brazil,Portuguese,Ongoing,OKbr-logo.svg,monitor_da_inda,
OKF Brazil,Querido Diário,"The Querido Diário project proposes to use artificial intelligence to classify, contextualise and expand the information contained in the Brazilian official municipal portals, making them available on a platform that will allow them to be viewed in an open and friendly format.",https://queridodiario.ok.org.br/,"Open Data, Open Government Data,",Brazil,Portuguese,Ongoing,OKbr-logo.svg,querido_diario,
OKF Finland,Hack4OpenGLAM,Hack4OpenGLAM is a 5-day culture hack for getting creative with Open Access to cultural heritage,https://hack4openglam.okf.fi/,Open GLAM,Finland,English,Ongoing,OK_LG_LOGO_FINLAND_RGB.svg,hack4openglam,
OKF Finland,Fair Public Procurements,"The general objective of the project is to make public procurements of higher quality, more transparent and to reduce the possibilities of corruption and arbitrariness of the contracting authority. Another goal is to share experiences on how to include solid evaluation criteria for environmental protection, gender equality and other Nordic values into public procurements.",?,"Open Government Data, Fiscal Transparency",Finland,"Finnish, English",Ongoing,OK_LG_LOGO_FINLAND_RGB.svg,fair_public_procurements,
OKF Finland,Open Data Thesis Award,"Open Knowledge Finland annually awards the Best Open Knowledge Thesis of the previous year. We hope the award encourages students to conduct research in one of the many aspects of open knowledge, thus adding to the scientific knowledge of us all.",https://www.okf.fi/thesis-award/,Open Data,Finland,"Finnish, English",Ongoing,OK_LG_LOGO_FINLAND_RGB.svg,open_data_thesis_award,
OKF Germany,Jugend hackt,"Jugend hackt is a program for young people who want to improve the world with their technical skills. Supported by volunteer mentors, our participants develop digital tools, prototypes and concepts for a better future. Our offer includes hackathon events in many cities, regional labs, an online community and international exchange programs.",https://jugendhackt.org/,Data Literacy,Germany,German,Ongoing,OK_LG_LOGO_GERMANY_RGB.svg,jugend_hackt,
